FID,id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bfc.176703,176703,2021-07-17T00:00:00Z,2,Moyen,#50ccaa,2021-07-18T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,2,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176704,176704,2021-07-18T00:00:00Z,2,Moyen,#50ccaa,2021-07-19T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176705,176705,2021-07-19T00:00:00Z,2,Moyen,#50ccaa,2021-07-20T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176706,176706,2021-07-20T00:00:00Z,3,Dégradé,#f0e641,2021-07-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,3,2,2,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176707,176707,2021-07-21T00:00:00Z,3,Dégradé,#f0e641,2021-07-22T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,3,2,2,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176708,176708,2021-07-22T00:00:00Z,3,Dégradé,#f0e641,2021-07-22T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,3,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176709,176709,2021-07-23T00:00:00Z,4,Mauvais,#ff5050,2021-07-22T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,4,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176710,176710,2021-07-24T00:00:00Z,3,Dégradé,#f0e641,2021-07-22T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,3,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176711,176711,2021-01-01T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176712,176712,2021-01-02T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176713,176713,2021-01-03T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176714,176714,2021-01-04T00:00:00Z,3,Dégradé,#f0e641,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,2,3,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176715,176715,2021-01-05T00:00:00Z,3,Dégradé,#f0e641,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,2,3,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176716,176716,2021-01-06T00:00:00Z,3,Dégradé,#f0e641,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,2,3,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176717,176717,2021-01-07T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,2,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
